id,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
252341,http://www.inaturalist.org/observations/252341,https://inaturalist-open-data.s3.amazonaws.com/photos/314519/medium.JPG,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
886447,http://www.inaturalist.org/observations/886447,https://inaturalist-open-data.s3.amazonaws.com/photos/1125667/medium.JPG,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
909698,http://www.inaturalist.org/observations/909698,https://inaturalist-open-data.s3.amazonaws.com/photos/1159716/medium.JPG,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
1258498,http://www.inaturalist.org/observations/1258498,https://inaturalist-open-data.s3.amazonaws.com/photos/1579998/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
2360798,http://www.inaturalist.org/observations/2360798,https://inaturalist-open-data.s3.amazonaws.com/photos/2626569/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
2362091,http://inaturalist.ca/observations/2362091,https://static.inaturalist.org/photos/2627948/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
3501125,http://www.inaturalist.org/observations/3501125,https://inaturalist-open-data.s3.amazonaws.com/photos/4073623/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
4108192,http://www.inaturalist.org/observations/4108192,https://inaturalist-open-data.s3.amazonaws.com/photos/4882282/medium.jpeg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
4158640,http://www.inaturalist.org/observations/4158640,https://inaturalist-open-data.s3.amazonaws.com/photos/4953811/medium.jpeg,Northern White-cheeked Gibbon,Nomascus leucogenys,Northern White-cheeked Gibbon,Mammalia,74781
4159033,http://www.inaturalist.org/observations/4159033,https://inaturalist-open-data.s3.amazonaws.com/photos/4954533/medium.jpeg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
4187783,http://www.inaturalist.org/observations/4187783,https://inaturalist-open-data.s3.amazonaws.com/photos/4989137/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
4497268,http://www.inaturalist.org/observations/4497268,https://inaturalist-open-data.s3.amazonaws.com/photos/5433952/medium.jpeg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
4497269,http://www.inaturalist.org/observations/4497269,https://inaturalist-open-data.s3.amazonaws.com/photos/5434006/medium.jpeg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
4532261,http://www.inaturalist.org/observations/4532261,https://inaturalist-open-data.s3.amazonaws.com/photos/5490744/medium.jpg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
5400838,https://www.inaturalist.org/observations/5400838,https://inaturalist-open-data.s3.amazonaws.com/photos/6636528/medium.jpeg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
6842372,https://www.inaturalist.org/observations/6842372,https://static.inaturalist.org/photos/8715796/medium.jpeg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
7487864,https://www.inaturalist.org/observations/7487864,https://inaturalist-open-data.s3.amazonaws.com/photos/9751397/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
7663958,https://www.inaturalist.org/observations/7663958,https://inaturalist-open-data.s3.amazonaws.com/photos/10033083/medium.jpeg,Hoolock tianxing,Hoolock tianxing,Skywalker Hoolock Gibbon,Mammalia,554790
7726276,https://www.inaturalist.org/observations/7726276,https://inaturalist-open-data.s3.amazonaws.com/photos/10136774/medium.jpeg,Stump-tailed Macaque,Macaca arctoides,Stump-tailed Macaque,Mammalia,43445
7799864,https://www.inaturalist.org/observations/7799864,https://static.inaturalist.org/photos/10256014/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
8180092,https://www.inaturalist.org/observations/8180092,https://inaturalist-open-data.s3.amazonaws.com/photos/10835135/medium.jpg,Rhesus Macaque,Macaca mulatta,Rhesus Macaque,Mammalia,43460
8595285,https://www.inaturalist.org/observations/8595285,https://inaturalist-open-data.s3.amazonaws.com/photos/11489750/medium.jpg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
8825658,https://www.inaturalist.org/observations/8825658,https://inaturalist-open-data.s3.amazonaws.com/photos/11855881/medium.jpg,Tibetan Macaque,Macaca thibetana,Tibetan Macaque,Mammalia,43451
